天津历史天气预报 2020年10月份,,,
日期,天气状况,气温,风力风向
2020年10月1日,小雨 /晴,21℃ / 13℃,西南风 3-4级 /西南风 3-4级
2020年10月2日,晴 /晴,20℃ / 11℃,西北风 1-2级 /西北风 1-2级
2020年10月3日,多云 /多云,23℃ / 10℃,西南风 3-4级 /西南风 3-4级
2020年10月4日,晴 /晴,17℃ / 9℃,西北风 3-4级 /西北风 3-4级
2020年10月5日,晴 /晴,19℃ / 9℃,北风 1-2级 /北风 1-2级
2020年10月6日,晴 /晴,21℃ / 11℃,西南风 1-2级 /西南风 1-2级
2020年10月7日,多云 /晴,22℃ / 11℃,南风 1-2级 /南风 1-2级
2020年10月8日,多云 /阴,22℃ / 13℃,东南风 1-2级 /东南风 1-2级
2020年10月9日,多云 /多云,23℃ / 14℃,南风 1-2级 /南风 1-2级
2020年10月10日,多云 /阴,23℃ / 14℃,西南风 1-2级 /西南风 1-2级
2020年10月11日,阴 /多云,20℃ / 10℃,北风 3-4级 /北风 3-4级
2020年10月12日,晴 /晴,18℃ / 9℃,西北风 1-2级 /西北风 1-2级
2020年10月13日,多云 /多云,21℃ / 10℃,北风 3-4级 /北风 3-4级
2020年10月14日,阴 /阴,17℃ / 10℃,南风 1-2级 /南风 1-2级
2020年10月15日,多云 /小雨,19℃ / 9℃,西南风 1-2级 /西南风 1-2级
2020年10月16日,晴 /晴,18℃ / 9℃,西北风 3-4级 /西北风 3-4级
2020年10月17日,晴 /晴,21℃ / 9℃,西南风 1-2级 /西南风 1-2级
2020年10月18日,晴 /晴,20℃ / 9℃,西风 1-2级 /西风 1-2级
2020年10月19日,晴 /多云,22℃ / 11℃,西南风 1-2级 /西南风 1-2级
2020年10月20日,多云 /多云,22℃ / 11℃,西南风 3-4级 /西南风 3-4级
2020年10月21日,晴 /晴,16℃ / 5℃,西北风 3-4级 /西北风 3-4级
2020年10月22日,晴 /晴,17℃ / 6℃,西北风 3-4级 /西北风 3-4级
2020年10月23日,晴 /晴,17℃ / 7℃,西北风 1-2级 /西北风 1-2级
2020年10月24日,晴 /多云,20℃ / 10℃,西南风 1-2级 /西南风 1-2级
2020年10月25日,多云 /多云,21℃ / 10℃,西南风 1-2级 /西南风 1-2级
2020年10月26日,多云 /晴,21℃ / 7℃,西南风 4-5级 /西南风 4-5级
2020年10月27日,多云 /晴,17℃ / 7℃,西北风 3-4级 /西北风 3-4级
2020年10月28日,晴 /晴,18℃ / 6℃,北风 1-2级 /北风 1-2级
2020年10月29日,多云 /晴,17℃ / 8℃,西南风 1-2级 /西南风 1-2级
2020年10月30日,多云 /小雨,20℃ / 11℃,南风 1-2级 /南风 1-2级
2020年10月31日,阴 /晴,20℃ / 7℃,西北风 1-2级 /西北风 1-2级
